"antiguedad" "horasextra" "sexo" "cursos" "incapacidad" "aptitudes" "escolaridad" "salario" "edad" "turno" "departamento"
"1" 11 125 1 4 9 121.89 2 23065 44 "matutino" "logistica"
"2" 24 225 2 2 2 114.2 1 27180 50 "matutino" "logistica"
"3" 17 115 2 3 5 134.11 1 34875 48 "matutino" "finanzas"
"4" 9 117 1 1 1 113.95 1 23685 53 "matutino" "produccion"
"5" 15 26 1 2 0 151.41 2 33550 62 "matutino" "produccion"
"6" 6 43 1 4 3 96.65 1 22635 45 "matutino" "finanzas"
"7" 4 124 2 2 4 98.43 2 19575 26 "matutino" "produccion"
"8" 2 71 2 1 1 110.06 1 20430 28 "matutino" "produccion"
"9" 17 166 2 2 5 101.98 1 18955 33 "vespertino" "produccion"
"10" 17 158 1 3 2 101.01 1 25595 40 "matutino" "finanzas"
"11" 15 182 2 4 4 103.42 2 34975 63 "matutino" "produccion"
"12" 21 81 2 3 6 106.88 2 26800 55 "matutino" "ventas"
"13" 4 58 1 2 5 99.36 2 22400 50 "vespertino" "ventas"
"14" 12 203 1 2 3 105.66 2 31200 33 "matutino" "compras"
"15" 23 144 1 2 4 100.91 1 24750 41 "matutino" "finanzas"
"16" 20 179 1 3 5 73.76 2 30495 53 "nocturno" "produccion"
"17" 19 96 2 1 5 83.39 0 33965 58 "nocturno" "logistica"
"18" 12 96 2 4 7 88.41 1 30440 51 "nocturno" "produccion"
"19" 5 157 2 4 8 98.19 1 25545 39 "vespertino" "compras"
"20" 11 27 2 2 4 101.72 1 23960 30 "matutino" "logistica"
"21" 11 88 1 0 6 92.63 1 30630 45 "vespertino" "produccion"
"22" 8 177 2 4 6 92.59 1 38790 61 "vespertino" "compras"
"23" 20 211 1 3 1 110.34 2 41705 68 "matutino" "compras"
"24" 1 125 1 0 9 102.91 2 19775 30 "vespertino" "ventas"
"25" 6 58 2 0 7 110.39 2 37600 57 "vespertino" "finanzas"
"26" 18 178 1 4 3 124.5 1 34250 49 "matutino" "produccion"
"27" 21 166 1 3 5 116.35 1 36195 48 "nocturno" "produccion"
"28" 7 155 1 3 4 118.64 2 28090 31 "matutino" "ventas"
"29" 21 45 2 2 6 115.64 2 35600 60 "vespertino" "finanzas"
"30" 27 157 2 2 5 113.16 2 39975 67 "vespertino" "ventas"
"31" 20 99 2 0 4 96.92 2 37100 57 "nocturno" "produccion"
"32" 11 140 1 5 7 94.82 0 27500 32 "vespertino" "finanzas"
"33" 11 101 1 3 9 102.62 1 24450 27 "vespertino" "logistica"
