cat1,var1,var2
1,5.98,1.65
1,16.78,2.07
1,7.1,2.65
1,31.67,0.63
1,12.12,2.07
1,11.43,1.17
1,15.12,0.82
0,8.97,1.65
1,13.07,1.55
1,5.4,1.52
1,13.5,0.48
0,5.86,2.23
1,6.11,0.79
0,9.23,0.67
0,13.62,1.19
0,,3.83
1,5.38,0.45
1,11.63,0.56
1,11.89,1.44
1,8.66,3.88
1,7.08,0.82
0,12.43,0.86
1,8.32,0.82
1,12.59,1.08
1,7.61,2.31
1,11.67,1.67
1,10.69,0.88
1,11.15,0.82
1,14.65,2.95
1,7.57,1.12
0,,0.58
1,8.66,1.43
0,6.53,2.53
1,10.87,1.09
1,14.13,1.77
0,,0.48
1,9.1,1
1,6.8,0.88
0,5.81,2.28
1,,0.48
0,13.14,0.77
1,10.2,1.39
0,7.02,1.03
1,8.6,0.85
1,,0.5
1,7.58,4.37
1,6.83,1.46
0,7.6,2.9
1,,0.59
1,11.6,0.98
0,,0.6
1,7.7,1.11
1,,0.71
1,5.96,0.63
1,11.7,8.92
1,,1.2
1,5.95,3.38
0,,2.07
